CD44,TOP2A,SAMSN1,RBM47,CORO1A,ZC3HAV1,HLAA,group
7.1723645,5.230218613,5.509553717,6.307851872,7.231763814,4.30386116,11.65454092,1
6.37556069,6.525973103,4.89368763,5.056236821,6.66446279,4.716152871,10.64190419,1
4.708903791,4.557984895,3.360000179,4.8408801,5.734074008,3.797660326,9.791004016,0
5.269876976,4.247762804,4.731154405,4.552114446,6.443165906,4.60047973,9.984743318,0
5.303577069,4.316087592,3.514078236,4.429396565,6.240464327,4.387416965,10.47763886,0
4.684882322,4.392460008,3.780503681,4.560761634,6.184291379,4.309525967,10.31389581,0
5.934866417,7.117905567,4.082889887,4.385805781,6.812601804,5.47215368,11.07177833,0
5.456339449,6.027072831,3.646855472,5.190532971,6.929186993,4.191697282,10.41185882,0
6.413951654,5.5557335,4.056029605,4.720554373,6.632088284,4.640861987,9.990186397,0
5.308071023,4.654072274,4.206015618,4.988523434,6.369441816,4.585935754,9.971650222,0
6.19085843,4.852633203,4.411497936,4.915271163,6.630416723,5.131441232,11.28772928,0
5.672636588,6.209451804,4.015855294,4.43554147,6.531334621,4.47989528,10.24375222,0
8.318000182,7.804398581,7.000334462,7.037942726,9.213767555,5.422706087,12.3781375,1
8.746210253,8.403191128,8.487582365,8.03236993,8.731174439,6.314268362,12.91700637,1
6.487032098,4.942792214,5.325204516,5.382340785,8.209336328,6.325376615,12.00363856,1
7.966108207,6.352278105,6.276818143,6.664162247,7.045397882,5.548408035,12.10314473,1
8.702078167,6.86687836,7.694931315,7.864078281,8.851671532,5.765426565,13.26084067,1
5.857188415,7.450079599,4.183083755,5.108187296,6.385321176,4.223392707,9.817842306,0
5.446165971,5.265630083,3.741741542,4.378709494,6.355369188,4.27178156,9.749466351,0
5.782328054,4.727520777,3.715103849,5.18477121,6.673514708,4.706400039,10.19321523,0
6.134169663,4.465507723,4.984082483,4.938080864,6.893966457,4.46253136,10.13536366,0
5.075563499,4.157409331,3.292093797,4.196931042,6.651713568,4.309576763,10.67448946,0
5.679736841,4.520394043,3.400014278,4.70097783,5.8548775,4.053913448,9.878405791,0
5.541226442,5.446562434,4.850003242,5.487021177,6.480083662,5.058450206,10.51995099,0
4.547324935,5.086933279,5.260063966,5.981370345,6.472840963,4.560751233,8.380945551,0
6.915755972,5.352253152,5.630976112,5.65127771,7.838717341,5.958075732,10.9351676,1
7.764783709,9.105086976,6.241992663,5.942761232,7.940633549,5.717556079,11.89335802,1
6.530656141,5.162479695,4.531379879,5.08012999,7.167358304,5.394359157,11.94105767,1
6.364877758,6.105169791,5.498798697,5.602551929,7.195753331,5.222788986,10.27487598,0
7.046923829,6.815017437,6.157396366,6.272027382,7.470169246,5.685550126,12.17833812,1
8.578986671,7.365253438,7.505516317,7.596428377,9.315194959,5.584881067,12.23477685,1
9.336758052,9.156937562,8.49992286,8.029520741,10.63737337,7.40440516,12.91725411,1
6.366018656,4.849770968,4.113011836,4.924298026,7.146357268,4.554064504,10.39681916,0
9.078128686,8.917339937,8.376394117,8.615652256,10.08352679,7.148031926,12.5361764,1
8.428450417,9.160802167,8.728410129,8.312919346,9.234888937,6.490213307,13.38351937,1
7.700833751,9.067647115,8.315569945,7.307809367,10.04938531,7.409189773,13.25029234,1
6.82762389,6.320497703,6.854905205,6.138424656,8.867522082,5.329580915,11.84771753,1
8.191913438,6.244655418,7.09160456,6.548563946,8.793188524,5.768794517,11.58052083,1
5.104162446,6.754443658,4.36675469,4.944783146,6.088916509,4.230469235,9.881425193,0
4.437486215,4.295616136,3.618307031,4.507762482,5.84129752,3.800360098,10.19659498,0
6.898245504,7.513466166,6.290052747,5.561051158,7.633083368,5.269457743,10.71935668,1
4.799399938,4.606724634,4.52572016,5.157692885,6.285994792,4.598026354,10.03386394,0
5.976892216,5.819116181,3.938899965,4.724571657,6.983448042,4.655129245,10.02783378,0
6.541450101,4.971639409,5.171346369,5.791490079,6.885378323,4.939988062,9.677508196,0
5.12125533,4.724019464,4.229965581,5.012983159,6.15045092,3.970553118,9.782689035,0
5.842112594,4.680199646,4.926037764,5.611748133,6.444564031,4.545639685,9.859313376,0
6.541064335,4.98787116,5.640287567,5.687382066,7.376253637,4.877188584,10.24165774,0
6.959131971,5.071735424,4.690678062,5.362200696,6.671752785,4.385335583,10.71433766,0
5.953519301,4.252667836,4.901529048,5.203141426,6.824477617,4.323003102,9.992946008,0
7.082159599,5.970128584,6.117147284,6.359744132,8.399649992,5.426494825,11.45242031,1
5.917760801,4.795026365,4.366990167,5.054644308,6.640069842,4.052197168,9.979679931,0
7.426453009,6.784072358,6.35158514,6.401548553,7.950711617,5.553186552,11.39555601,1
7.689223587,7.36936671,5.398412298,6.239372035,6.900902388,5.250981754,11.12672536,0
7.411373031,6.807858726,5.542933597,6.133791149,8.028766544,5.328659786,11.41226077,1
7.986357522,6.502375146,7.181109972,7.254540859,9.455755669,5.549725232,12.4761995,1
6.838255766,5.220416752,5.032434599,5.933882087,7.702938308,5.014387724,10.95954067,1
6.610429448,5.421327134,5.501102158,6.089874346,7.930855924,5.306532577,10.98651893,1
6.53817795,4.52719255,3.95437196,4.743703832,6.861760543,4.694808274,10.70873775,0
7.651482115,9.107402859,7.275960212,5.959430993,7.737099039,6.799344516,12.63621933,1
8.969180017,5.188805934,7.656345257,8.15935989,7.676027781,5.526939382,10.52356997,0
8.764330614,7.498365999,7.471574571,7.541874432,9.726913848,7.139138022,12.35109379,1
8.913262154,7.866106192,7.615074485,7.943878998,9.895468474,6.953318954,12.55366025,1
4.604715548,4.448866907,4.028685123,4.564940807,6.129840086,4.29075323,10.05786429,0
5.613655905,5.174168974,3.39797379,5.195295726,6.43785044,4.699335627,10.37048383,0
6.928700811,6.515866563,5.234958265,6.063616145,7.270108873,4.715266532,10.65679873,1
6.654720016,5.367668761,5.207825121,6.009414418,6.946193007,4.65575817,10.40466238,0
6.502136645,6.078884767,4.926804431,5.59144203,6.162926882,4.38603238,10.30441054,0
